Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.500000
0.025000	 0.531250 	 numero de thread:4
0.050000	 0.562657 	 numero de thread:4
0.075000	 0.594228 	 numero de thread:4
0.100000	 0.625968 	 numero de thread:4
0.125000	 0.657884 	 numero de thread:4
0.150000	 0.689983 	 numero de thread:4
0.175000	 0.722272 	 numero de thread:4
0.200000	 0.754760 	 numero de thread:4
0.225000	 0.787454 	 numero de thread:4
0.250000	 0.820363 	 numero de thread:4
0.275000	 0.853496 	 numero de thread:4
0.300000	 0.886862 	 numero de thread:4
0.325000	 0.920472 	 numero de thread:4
0.350000	 0.954337 	 numero de thread:4
0.375000	 0.988468 	 numero de thread:4
0.400000	 1.022876 	 numero de thread:4
0.425000	 1.057575 	 numero de thread:4
0.450000	 1.092579 	 numero de thread:4
0.475000	 1.127902 	 numero de thread:4
0.500000	 1.163559 	 numero de thread:4
0.525000	 1.199567 	 numero de thread:4
0.550000	 1.235943 	 numero de thread:4
0.575000	 1.272706 	 numero de thread:4
0.600000	 1.309875 	 numero de thread:4
0.625000	 1.347474 	 numero de thread:4
0.650000	 1.385523 	 numero de thread:4
0.675000	 1.424048 	 numero de thread:4
0.700000	 1.463074 	 numero de thread:4
0.725000	 1.502631 	 numero de thread:4
0.750000	 1.542749 	 numero de thread:4
0.775000	 1.583461 	 numero de thread:4
0.800000	 1.624801 	 numero de thread:4
0.825000	 1.666808 	 numero de thread:4
0.850000	 1.709524 	 numero de thread:4
0.875000	 1.752994 	 numero de thread:4
0.900000	 1.797266 	 numero de thread:4
0.925000	 1.842393 	 numero de thread:4
0.950000	 1.888433 	 numero de thread:4
0.975000	 1.935449 	 numero de thread:4
1.000000	 1.983511 	 numero de thread:4
1.025000	 2.032693 	 numero de thread:4
1.050000	 2.083079 	 numero de thread:4
1.075000	 2.134761 	 numero de thread:4
1.100000	 2.187838 	 numero de thread:4
1.125000	 2.242423 	 numero de thread:4
1.150000	 2.298639 	 numero de thread:4
1.175000	 2.356623 	 numero de thread:4
1.200000	 2.416529 	 numero de thread:4
1.225000	 2.478527 	 numero de thread:4
1.250000	 2.542811 	 numero de thread:4
1.275000	 2.609595 	 numero de thread:4
1.300000	 2.679123 	 numero de thread:4
1.325000	 2.751673 	 numero de thread:4
1.350000	 2.827558 	 numero de thread:4
1.375000	 2.907137 	 numero de thread:4
1.400000	 2.990823 	 numero de thread:4
1.425000	 3.079091 	 numero de thread:4
1.450000	 3.172491 	 numero de thread:4
1.475000	 3.271666 	 numero de thread:4
1.500000	 3.377366 	 numero de thread:4
1.525000	 3.490479 	 numero de thread:4
1.550000	 3.612056 	 numero de thread:4
1.575000	 3.743358 	 numero de thread:4
1.600000	 3.885903 	 numero de thread:4
1.625000	 4.041536 	 numero de thread:4
1.650000	 4.212527 	 numero de thread:4
1.675000	 4.401691 	 numero de thread:4
1.700000	 4.612562 	 numero de thread:4
1.725000	 4.849638 	 numero de thread:4
1.750000	 5.118722 	 numero de thread:4
1.775000	 5.427429 	 numero de thread:4
1.800000	 5.785935 	 numero de thread:4
1.825000	 6.208127 	 numero de thread:4
1.850000	 6.713422 	 numero de thread:4
1.875000	 7.329744 	 numero de thread:4
1.900000	 8.098599 	 numero de thread:4
1.925000	 9.084165 	 numero de thread:4
1.950000	 10.390506 	 numero de thread:4
1.975000	 12.196560 	 numero de thread:4
2.000000	 14.833567 	 numero de thread:4
