Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.500000
0.023256	 0.529070 	 numero de thread:4
0.046512	 0.558276 	 numero de thread:4
0.069767	 0.587622 	 numero de thread:4
0.093023	 0.617114 	 numero de thread:4
0.116279	 0.646758 	 numero de thread:4
0.139535	 0.676558 	 numero de thread:4
0.162791	 0.706521 	 numero de thread:4
0.186047	 0.736652 	 numero de thread:4
0.209302	 0.766958 	 numero de thread:4
0.232558	 0.797446 	 numero de thread:4
0.255814	 0.828123 	 numero de thread:4
0.279070	 0.858996 	 numero de thread:4
0.302326	 0.890073 	 numero de thread:4
0.325581	 0.921362 	 numero de thread:4
0.348837	 0.952873 	 numero de thread:4
0.372093	 0.984614 	 numero de thread:4
0.395349	 1.016595 	 numero de thread:4
0.418605	 1.048826 	 numero de thread:4
0.441860	 1.081319 	 numero de thread:4
0.465116	 1.114084 	 numero de thread:4
0.488372	 1.147134 	 numero de thread:4
0.511628	 1.180482 	 numero de thread:4
0.534884	 1.214142 	 numero de thread:4
0.558140	 1.248128 	 numero de thread:4
0.581395	 1.282455 	 numero de thread:4
0.604651	 1.317141 	 numero de thread:4
0.627907	 1.352203 	 numero de thread:4
0.651163	 1.387658 	 numero de thread:4
0.674419	 1.423529 	 numero de thread:4
0.697674	 1.459835 	 numero de thread:4
0.720930	 1.496600 	 numero de thread:4
0.744186	 1.533848 	 numero de thread:4
0.767442	 1.571605 	 numero de thread:4
0.790698	 1.609900 	 numero de thread:4
0.813953	 1.648763 	 numero de thread:4
0.837209	 1.688226 	 numero de thread:4
0.860465	 1.728324 	 numero de thread:4
0.883721	 1.769095 	 numero de thread:4
0.906977	 1.810581 	 numero de thread:4
0.930233	 1.852825 	 numero de thread:4
0.953488	 1.895876 	 numero de thread:4
0.976744	 1.939785 	 numero de thread:4
1.000000	 1.984610 	 numero de thread:4
1.023256	 2.030411 	 numero de thread:4
1.046512	 2.077257 	 numero de thread:4
1.069767	 2.125220 	 numero de thread:4
1.093023	 2.174383 	 numero de thread:4
1.116279	 2.224832 	 numero de thread:4
1.139535	 2.276667 	 numero de thread:4
1.162791	 2.329994 	 numero de thread:4
1.186047	 2.384933 	 numero de thread:4
1.209302	 2.441615 	 numero de thread:4
1.232558	 2.500187 	 numero de thread:4
1.255814	 2.560812 	 numero de thread:4
1.279070	 2.623673 	 numero de thread:4
1.302326	 2.688974 	 numero de thread:4
1.325581	 2.756946 	 numero de thread:4
1.348837	 2.827849 	 numero de thread:4
1.372093	 2.901976 	 numero de thread:4
1.395349	 2.979663 	 numero de thread:4
1.418605	 3.061292 	 numero de thread:4
1.441860	 3.147302 	 numero de thread:4
1.465116	 3.238198 	 numero de thread:4
1.488372	 3.334566 	 numero de thread:4
1.511628	 3.437088 	 numero de thread:4
1.534884	 3.546562 	 numero de thread:4
1.558140	 3.663930 	 numero de thread:4
1.581395	 3.790311 	 numero de thread:4
1.604651	 3.927039 	 numero de thread:4
1.627907	 4.075725 	 numero de thread:4
1.651163	 4.238325 	 numero de thread:4
1.674419	 4.417241 	 numero de thread:4
1.697674	 4.615452 	 numero de thread:4
1.720930	 4.836695 	 numero de thread:4
1.744186	 5.085718 	 numero de thread:4
1.767442	 5.368644 	 numero de thread:4
1.790698	 5.693497 	 numero de thread:4
1.813953	 6.070981 	 numero de thread:4
1.837209	 6.515686 	 numero de thread:4
1.860465	 7.047968 	 numero de thread:4
1.883721	 7.697042 	 numero de thread:4
1.906977	 8.506221 	 numero de thread:4
1.930233	 9.542269 	 numero de thread:4
1.953488	 10.913038 	 numero de thread:4
1.976744	 12.803120 	 numero de thread:4
2.000000	 15.552200 	 numero de thread:4
