Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.500000
0.023810	 0.529762 	 numero de thread:5
0.047619	 0.559666 	 numero de thread:5
0.071429	 0.589719 	 numero de thread:5
0.095238	 0.619924 	 numero de thread:5
0.119048	 0.650288 	 numero de thread:5
0.142857	 0.680817 	 numero de thread:5
0.166667	 0.711517 	 numero de thread:5
0.190476	 0.742395 	 numero de thread:5
0.214286	 0.773457 	 numero de thread:5
0.238095	 0.804711 	 numero de thread:5
0.261905	 0.836165 	 numero de thread:5
0.285714	 0.867826 	 numero de thread:5
0.309524	 0.899704 	 numero de thread:5
0.333333	 0.931806 	 numero de thread:5
0.357143	 0.964144 	 numero de thread:5
0.380952	 0.996726 	 numero de thread:5
0.404762	 1.029563 	 numero de thread:5
0.428571	 1.062667 	 numero de thread:5
0.452381	 1.096050 	 numero de thread:5
0.476190	 1.129724 	 numero de thread:5
0.500000	 1.163703 	 numero de thread:5
0.523810	 1.198001 	 numero de thread:5
0.547619	 1.232632 	 numero de thread:5
0.571429	 1.267614 	 numero de thread:5
0.595238	 1.302964 	 numero de thread:5
0.619048	 1.338699 	 numero de thread:5
0.642857	 1.374839 	 numero de thread:5
0.666667	 1.411406 	 numero de thread:5
0.690476	 1.448421 	 numero de thread:5
0.714286	 1.485909 	 numero de thread:5
0.738095	 1.523895 	 numero de thread:5
0.761905	 1.562406 	 numero de thread:5
0.785714	 1.601473 	 numero de thread:5
0.809524	 1.641127 	 numero de thread:5
0.833333	 1.681402 	 numero de thread:5
0.857143	 1.722336 	 numero de thread:5
0.880952	 1.763968 	 numero de thread:5
0.904762	 1.806342 	 numero de thread:5
0.928571	 1.849505 	 numero de thread:5
0.952381	 1.893508 	 numero de thread:5
0.976190	 1.938406 	 numero de thread:5
1.000000	 1.984260 	 numero de thread:5
1.023810	 2.031135 	 numero de thread:5
1.047619	 2.079105 	 numero de thread:5
1.071429	 2.128247 	 numero de thread:5
1.095238	 2.178648 	 numero de thread:5
1.119048	 2.230405 	 numero de thread:5
1.142857	 2.283622 	 numero de thread:5
1.166667	 2.338416 	 numero de thread:5
1.190476	 2.394916 	 numero de thread:5
1.214286	 2.453265 	 numero de thread:5
1.238095	 2.513624 	 numero de thread:5
1.261905	 2.576171 	 numero de thread:5
1.285714	 2.641106 	 numero de thread:5
1.309524	 2.708656 	 numero de thread:5
1.333333	 2.779074 	 numero de thread:5
1.357143	 2.852650 	 numero de thread:5
1.380952	 2.929710 	 numero de thread:5
1.404762	 3.010631 	 numero de thread:5
1.428571	 3.095840 	 numero de thread:5
1.452381	 3.185835 	 numero de thread:5
1.476190	 3.281189 	 numero de thread:5
1.500000	 3.382571 	 numero de thread:5
1.523810	 3.490763 	 numero de thread:5
1.547619	 3.606689 	 numero de thread:5
1.571429	 3.731446 	 numero de thread:5
1.595238	 3.866343 	 numero de thread:5
1.619048	 4.012960 	 numero de thread:5
1.642857	 4.173217 	 numero de thread:5
1.666667	 4.349473 	 numero de thread:5
1.690476	 4.544650 	 numero de thread:5
1.714286	 4.762419 	 numero de thread:5
1.738095	 5.007446 	 numero de thread:5
1.761905	 5.285747 	 numero de thread:5
1.785714	 5.605210 	 numero de thread:5
1.809524	 5.976366 	 numero de thread:5
1.833333	 6.413571 	 numero de thread:5
1.857143	 6.936870 	 numero de thread:5
1.880952	 7.575052 	 numero de thread:5
1.904762	 8.370832 	 numero de thread:5
1.928571	 9.390119 	 numero de thread:5
1.952381	 10.739516 	 numero de thread:5
1.976190	 12.601748 	 numero de thread:5
2.000000	 15.313712 	 numero de thread:5
