Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.500000
0.024096	 0.530120 	 numero de thread:3
0.048193	 0.560387 	 numero de thread:3
0.072289	 0.590805 	 numero de thread:3
0.096386	 0.621380 	 numero de thread:3
0.120482	 0.652118 	 numero de thread:3
0.144578	 0.683025 	 numero de thread:3
0.168675	 0.714107 	 numero de thread:3
0.192771	 0.745372 	 numero de thread:3
0.216867	 0.776827 	 numero de thread:3
0.240964	 0.808479 	 numero de thread:3
0.265060	 0.840336 	 numero de thread:3
0.289157	 0.872407 	 numero de thread:3
0.313253	 0.904700 	 numero de thread:3
0.337349	 0.937226 	 numero de thread:3
0.361446	 0.969993 	 numero de thread:3
0.385542	 1.003013 	 numero de thread:3
0.409639	 1.036297 	 numero de thread:3
0.433735	 1.069856 	 numero de thread:3
0.457831	 1.103703 	 numero de thread:3
0.481928	 1.137851 	 numero de thread:3
0.506024	 1.172315 	 numero de thread:3
0.530120	 1.207108 	 numero de thread:3
0.554217	 1.242248 	 numero de thread:3
0.578313	 1.277752 	 numero de thread:3
0.602410	 1.313636 	 numero de thread:3
0.626506	 1.349922 	 numero de thread:3
0.650602	 1.386629 	 numero de thread:3
0.674699	 1.423779 	 numero de thread:3
0.698795	 1.461396 	 numero de thread:3
0.722892	 1.499506 	 numero de thread:3
0.746988	 1.538136 	 numero de thread:3
0.771084	 1.577314 	 numero de thread:3
0.795181	 1.617074 	 numero de thread:3
0.819277	 1.657447 	 numero de thread:3
0.843373	 1.698472 	 numero de thread:3
0.867470	 1.740187 	 numero de thread:3
0.891566	 1.782637 	 numero de thread:3
0.915663	 1.825866 	 numero de thread:3
0.939759	 1.869925 	 numero de thread:3
0.963855	 1.914870 	 numero de thread:3
0.987952	 1.960760 	 numero de thread:3
1.012048	 2.007660 	 numero de thread:3
1.036145	 2.055642 	 numero de thread:3
1.060241	 2.104783 	 numero de thread:3
1.084337	 2.155170 	 numero de thread:3
1.108434	 2.206898 	 numero de thread:3
1.132530	 2.260069 	 numero de thread:3
1.156627	 2.314801 	 numero de thread:3
1.180723	 2.371219 	 numero de thread:3
1.204819	 2.429467 	 numero de thread:3
1.228916	 2.489702 	 numero de thread:3
1.253012	 2.552102 	 numero de thread:3
1.277108	 2.616864 	 numero de thread:3
1.301205	 2.684212 	 numero de thread:3
1.325301	 2.754398 	 numero de thread:3
1.349398	 2.827706 	 numero de thread:3
1.373494	 2.904463 	 numero de thread:3
1.397590	 2.985038 	 numero de thread:3
1.421687	 3.069857 	 numero de thread:3
1.445783	 3.159410 	 numero de thread:3
1.469880	 3.254266 	 numero de thread:3
1.493976	 3.355087 	 numero de thread:3
1.518072	 3.462646 	 numero de thread:3
1.542169	 3.577860 	 numero de thread:3
1.566265	 3.701813 	 numero de thread:3
1.590361	 3.835802 	 numero de thread:3
1.614458	 3.981393 	 numero de thread:3
1.638554	 4.140486 	 numero de thread:3
1.662651	 4.315418 	 numero de thread:3
1.686747	 4.509085 	 numero de thread:3
1.710843	 4.725123 	 numero de thread:3
1.734940	 4.968156 	 numero de thread:3
1.759036	 5.244149 	 numero de thread:3
1.783133	 5.560920 	 numero de thread:3
1.807229	 5.928913 	 numero de thread:3
1.831325	 6.362365 	 numero de thread:3
1.855422	 6.881168 	 numero de thread:3
1.879518	 7.513894 	 numero de thread:3
1.903614	 8.302959 	 numero de thread:3
1.927711	 9.313841 	 numero de thread:3
1.951807	 10.652513 	 numero de thread:3
1.975904	 12.500761 	 numero de thread:3
2.000000	 15.194078 	 numero de thread:3
