Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.500000
0.024390	 0.530488 	 numero de thread:0
0.048780	 0.561125 	 numero de thread:0
0.073171	 0.591918 	 numero de thread:0
0.097561	 0.622871 	 numero de thread:0
0.121951	 0.653992 	 numero de thread:0
0.146341	 0.685287 	 numero de thread:0
0.170732	 0.716761 	 numero de thread:0
0.195122	 0.748423 	 numero de thread:0
0.219512	 0.780281 	 numero de thread:0
0.243902	 0.812341 	 numero de thread:0
0.268293	 0.844612 	 numero de thread:0
0.292683	 0.877103 	 numero de thread:0
0.317073	 0.909824 	 numero de thread:0
0.341463	 0.942784 	 numero de thread:0
0.365854	 0.975993 	 numero de thread:0
0.390244	 1.009463 	 numero de thread:0
0.414634	 1.043205 	 numero de thread:0
0.439024	 1.077232 	 numero de thread:0
0.463415	 1.111557 	 numero de thread:0
0.487805	 1.146193 	 numero de thread:0
0.512195	 1.181156 	 numero de thread:0
0.536585	 1.216461 	 numero de thread:0
0.560976	 1.252125 	 numero de thread:0
0.585366	 1.288166 	 numero de thread:0
0.609756	 1.324604 	 numero de thread:0
0.634146	 1.361457 	 numero de thread:0
0.658537	 1.398750 	 numero de thread:0
0.682927	 1.436504 	 numero de thread:0
0.707317	 1.474745 	 numero de thread:0
0.731707	 1.513499 	 numero de thread:0
0.756098	 1.552797 	 numero de thread:0
0.780488	 1.592668 	 numero de thread:0
0.804878	 1.633147 	 numero de thread:0
0.829268	 1.674270 	 numero de thread:0
0.853659	 1.716076 	 numero de thread:0
0.878049	 1.758606 	 numero de thread:0
0.902439	 1.801908 	 numero de thread:0
0.926829	 1.846031 	 numero de thread:0
0.951220	 1.891030 	 numero de thread:0
0.975610	 1.936963 	 numero de thread:0
1.000000	 1.983894 	 numero de thread:0
1.024390	 2.031895 	 numero de thread:0
1.048780	 2.081043 	 numero de thread:0
1.073171	 2.131423 	 numero de thread:0
1.097561	 2.183128 	 numero de thread:0
1.121951	 2.236261 	 numero de thread:0
1.146341	 2.290936 	 numero de thread:0
1.170732	 2.347280 	 numero de thread:0
1.195122	 2.405433 	 numero de thread:0
1.219512	 2.465551 	 numero de thread:0
1.243902	 2.527810 	 numero de thread:0
1.268293	 2.592406 	 numero de thread:0
1.292683	 2.659559 	 numero de thread:0
1.317073	 2.729518 	 numero de thread:0
1.341463	 2.802567 	 numero de thread:0
1.365854	 2.879026 	 numero de thread:0
1.390244	 2.959263 	 numero de thread:0
1.414634	 3.043697 	 numero de thread:0
1.439024	 3.132816 	 numero de thread:0
1.463415	 3.227180 	 numero de thread:0
1.487805	 3.327445 	 numero de thread:0
1.512195	 3.434378 	 numero de thread:0
1.536585	 3.548885 	 numero de thread:0
1.560976	 3.672040 	 numero de thread:0
1.585366	 3.805128 	 numero de thread:0
1.609756	 3.949697 	 numero de thread:0
1.634146	 4.107632 	 numero de thread:0
1.658537	 4.281245 	 numero de thread:0
1.682927	 4.473406 	 numero de thread:0
1.707317	 4.687717 	 numero de thread:0
1.731707	 4.928761 	 numero de thread:0
1.756098	 5.202447 	 numero de thread:0
1.780488	 5.516529 	 numero de thread:0
1.804878	 5.881358 	 numero de thread:0
1.829268	 6.311058 	 numero de thread:0
1.853659	 6.825361 	 numero de thread:0
1.878049	 7.452625 	 numero de thread:0
1.902439	 8.234964 	 numero de thread:0
1.926829	 9.237424 	 numero de thread:0
1.951220	 10.565346 	 numero de thread:0
1.975610	 12.399570 	 numero de thread:0
2.000000	 15.074179 	 numero de thread:0
